,heur_naive,heur_naive_bis,heur_naive_triee_selon_poids,heur_naive_triee_selon_poids_depl_obj,heur_naive_triee_selon_poids_depl_obj_bis,heur_naive_triee_selon_poids_depl_obj_ter
test0,2,3,2,2,0,0
bench_2_0,199,181,118,118,121,121
bench_2_1,332,318,166,166,104,104
bench_2_2,377,377,198,198,196,168
bench_2_3,285,285,128,128,126,98
bench_2_4,232,232,119,119,110,89
bench_3_0,125,107,102,102,105,105
bench_3_1,209,266,152,152,142,142
bench_3_2,361,359,115,96,149,148
bench_3_3,320,364,260,260,214,214
bench_3_4,130,130,84,69,81,53
bench_4_0,226,205,75,75,87,85
bench_4_1,316,365,213,213,136,136
bench_4_2,406,436,272,272,239,239
bench_4_3,369,343,211,201,203,199
bench_4_4,274,272,150,132,138,121
bench_5_0,102,84,92,92,80,80
bench_5_1,180,140,44,44,69,66
bench_5_2,161,106,41,41,68,71
bench_5_3,202,225,173,173,163,163
bench_5_4,321,309,207,207,185,185
bench_6_0,94,90,58,58,64,61
bench_6_1,490,526,166,166,184,184
bench_6_2,121,121,105,105,105,105
bench_6_3,342,347,179,179,157,157
bench_6_4,158,183,157,157,157,157
bench_7_0,134,130,77,77,93,93
bench_7_1,230,242,143,143,159,159
bench_7_2,183,163,118,118,123,123
bench_7_3,152,174,151,151,141,141
bench_7_4,416,421,215,215,212,212
bench_8_0,135,131,96,96,106,114
bench_8_1,200,202,149,149,125,125
bench_8_2,77,84,83,83,81,81
bench_8_3,170,162,103,88,78,78
bench_8_4,194,202,55,55,49,49
bench_9_0,66,63,83,73,56,56
bench_9_1,135,140,59,59,58,58
bench_9_2,122,167,111,95,75,75
bench_9_3,165,197,141,141,115,115
bench_9_4,148,161,130,130,77,77
bench_10_0,90,96,89,89,85,85
bench_10_1,108,135,97,97,78,83
bench_10_2,101,134,96,96,128,128
bench_10_3,123,145,92,92,94,94
bench_10_4,62,53,71,71,60,60
bench_11_0,68,97,83,83,36,36
bench_11_1,113,128,100,100,84,84
bench_11_2,51,55,80,80,91,91
bench_11_3,142,198,108,108,85,85
bench_11_4,70,68,69,57,47,55
bench_12_0,72,131,74,74,47,47
bench_12_1,69,80,67,67,47,47
bench_12_2,61,65,17,17,21,21
bench_12_3,212,196,105,105,118,118
bench_12_4,57,72,54,54,44,44
bench_13_0,90,106,52,43,39,39
bench_13_1,87,69,79,64,72,73
bench_13_2,65,81,71,71,79,80
bench_13_3,83,87,61,56,64,64
bench_13_4,66,81,42,37,32,36
bench_14_0,32,64,51,41,30,33
bench_14_1,62,89,70,70,87,87
bench_14_2,56,62,32,32,32,32
bench_14_3,61,59,61,49,49,49
bench_14_4,48,73,76,67,45,51
bench_15_0,39,53,56,50,41,40
bench_15_1,91,101,65,60,41,44
bench_15_2,73,78,47,41,39,45
bench_15_3,55,68,47,39,36,36
bench_15_4,64,70,60,52,68,68
bench_16_0,49,43,46,39,34,34
bench_16_1,30,52,38,32,26,26
bench_16_2,37,59,56,50,32,32
bench_16_3,55,60,37,30,14,18
bench_16_4,117,149,55,55,25,25
bench_17_0,38,70,40,34,16,16
bench_17_1,39,52,41,33,35,35
bench_17_2,49,68,39,34,25,31
bench_17_3,53,74,54,48,23,23
bench_17_4,42,48,56,56,51,51
bench_18_0,58,91,78,73,35,34
bench_18_1,53,86,54,54,32,32
bench_18_2,40,52,25,19,25,25
bench_18_3,33,56,40,40,24,24
bench_18_4,37,44,31,31,36,38
bench_19_0,38,32,34,27,26,30
bench_19_1,38,59,48,41,19,19
bench_19_2,35,66,43,34,15,15
bench_19_3,20,43,17,17,17,17
bench_19_4,30,41,36,26,23,26
bench_20_0,34,51,31,20,8,11
bench_20_1,43,60,57,52,14,23
bench_20_2,24,27,31,31,18,18
bench_20_3,34,44,19,19,11,11
bench_20_4,52,59,49,44,26,30
Moyenne,=MOYENNE(B2:B97),=MOYENNE(C2:C97),=MOYENNE(D2:D97),=MOYENNE(E2:E97),=MOYENNE(F2:F97),=MOYENNE(G2:G97)
