,heur_naive,heur_naive_bis,heur_naive_triee_selon_poids,heur_naive_triee_selon_poids_depl_obj,heur_naive_triee_selon_poids_depl_obj_bis,heur_naive_triee_selon_poids_depl_obj_ter
test0,2,3,2,2,0,0
bench_2_0,199,181,118,118,121,121
bench_2_1,332,318,166,166,104,104
bench_2_2,377,377,198,198,196,168
bench_2_3,285,285,128,128,126,98
bench_2_4,232,232,119,119,110,89
bench_2_5,305,305,257,257,246,227
bench_2_6,588,640,336,336,312,312
bench_2_7,288,282,94,94,100,93
bench_2_8,776,776,586,586,585,556
bench_2_9,494,516,186,186,186,186
bench_2_10,492,529,259,259,222,222
bench_2_11,558,574,324,324,308,308
bench_2_12,235,235,187,178,178,157
bench_2_13,643,672,416,416,387,387
bench_2_14,729,744,420,420,437,437
bench_2_15,576,576,484,484,478,454
bench_2_16,632,643,368,368,375,375
bench_2_17,465,465,385,385,385,385
bench_2_18,463,471,161,161,178,178
bench_2_19,321,267,70,70,85,65
bench_3_0,125,107,102,102,105,105
bench_3_1,209,266,152,152,142,142
bench_3_2,361,359,115,96,149,148
bench_3_3,320,364,260,260,214,214
bench_3_4,130,130,84,69,81,53
bench_3_5,340,350,312,312,254,254
bench_3_6,544,503,276,276,278,278
bench_3_7,494,513,233,233,219,219
bench_3_8,559,613,365,365,313,313
bench_3_9,451,451,335,335,331,305
bench_3_10,264,264,85,85,82,82
bench_3_11,279,291,175,175,186,191
bench_3_12,113,113,87,69,77,62
bench_3_13,303,316,214,214,209,209
bench_3_14,272,272,221,221,213,191
bench_3_15,259,250,56,56,62,62
bench_3_16,250,272,90,90,90,90
bench_3_17,157,165,82,68,69,57
bench_3_18,401,399,132,132,113,113
bench_3_19,252,198,162,142,159,159
bench_4_0,226,205,75,75,87,85
bench_4_1,316,365,213,213,136,136
bench_4_2,406,436,272,272,239,239
bench_4_3,369,343,211,201,203,199
bench_4_4,274,272,150,132,138,121
bench_4_5,158,182,137,137,137,137
bench_4_6,182,182,163,163,163,163
bench_4_7,270,286,179,179,144,144
bench_4_8,211,233,77,70,69,73
bench_4_9,180,185,134,120,117,128
bench_4_10,386,415,81,81,131,131
bench_4_11,164,180,117,103,116,116
bench_4_12,240,324,165,165,168,171
bench_4_13,277,321,120,120,153,153
bench_4_14,155,160,107,107,117,117
bench_4_15,263,289,158,158,140,140
bench_4_16,425,425,319,319,319,319
bench_4_17,184,207,141,141,109,109
bench_4_18,252,248,188,174,167,177
bench_4_19,186,179,39,39,36,34
bench_5_0,102,84,92,92,80,80
bench_5_1,180,140,44,44,69,66
bench_5_2,161,106,41,41,68,71
bench_5_3,202,225,173,173,163,163
bench_5_4,321,309,207,207,185,185
bench_5_5,179,193,111,111,97,97
bench_5_6,176,196,113,113,113,113
bench_5_7,282,282,215,215,212,212
bench_5_8,138,146,185,185,168,168
bench_5_9,155,152,105,105,105,105
bench_5_10,204,204,128,128,128,128
bench_5_11,164,175,152,152,123,123
bench_5_12,442,510,203,203,188,188
bench_5_13,254,244,111,111,131,131
bench_5_14,106,109,50,44,37,39
bench_5_15,255,251,168,168,143,143
bench_5_16,145,166,85,85,80,80
bench_5_17,244,259,126,126,123,123
bench_5_18,340,364,197,197,171,171
bench_5_19,107,126,114,114,129,112
bench_6_0,94,90,58,58,64,61
bench_6_1,490,526,166,166,184,184
